,Zipcode,Stats,Below poverty level,Percent below poverty level,Total
201,60150,Margin of Error,267.0,11.4,348.0
202,60151,Estimate,95.0,2.2,4241.0
203,60151,Margin of Error,48.0,1.1,431.0
204,60152,Estimate,1190.0,9.8,12184.0
205,60152,Margin of Error,372.0,3.1,589.0
206,60153,Estimate,2719.0,11.7,23211.0
207,60153,Margin of Error,714.0,3.1,124.0
208,60154,Estimate,591.0,3.7,16092.0
209,60154,Margin of Error,188.0,1.2,122.0
210,60155,Estimate,587.0,7.6,7677.0
211,60155,Margin of Error,269.0,3.5,25.0
212,60156,Estimate,1487.0,5.2,28665.0
213,60156,Margin of Error,463.0,1.6,116.0
214,60157,Estimate,90.0,3.3,2740.0
215,60157,Margin of Error,74.0,2.8,403.0
216,60160,Estimate,4005.0,15.8,25272.0
217,60160,Margin of Error,976.0,3.8,653.0
218,60162,Estimate,422.0,5.5,7697.0
219,60162,Margin of Error,162.0,2.1,180.0
220,60163,Estimate,159.0,3.1,5079.0
221,60163,Margin of Error,95.0,1.9,20.0
222,60164,Estimate,2721.0,13.0,20897.0
223,60164,Margin of Error,740.0,3.5,753.0
224,60165,Estimate,848.0,17.5,4842.0
225,60165,Margin of Error,439.0,9.1,19.0
226,60169,Estimate,1829.0,5.6,32899.0
227,60169,Margin of Error,476.0,1.4,280.0
228,60171,Estimate,999.0,10.0,9957.0
229,60171,Margin of Error,406.0,4.1,45.0
230,60172,Estimate,1102.0,4.6,24012.0
231,60172,Margin of Error,361.0,1.5,457.0
232,60173,Estimate,617.0,4.9,12561.0
233,60173,Margin of Error,240.0,1.9,826.0
234,60174,Estimate,1230.0,4.0,30624.0
235,60174,Margin of Error,339.0,1.1,909.0
236,60175,Estimate,952.0,3.7,25919.0
237,60175,Margin of Error,514.0,2.0,967.0
238,60176,Estimate,1408.0,12.3,11447.0
239,60176,Margin of Error,558.0,4.9,76.0
240,60177,Estimate,1441.0,6.3,22798.0
241,60177,Margin of Error,708.0,3.1,574.0
242,60178,Estimate,2103.0,9.5,22071.0
243,60178,Margin of Error,558.0,2.5,620.0
244,60180,Estimate,130.0,7.0,1844.0
245,60180,Margin of Error,138.0,7.9,397.0
246,60181,Estimate,2120.0,7.2,29321.0
247,60181,Margin of Error,529.0,1.8,773.0
248,60184,Estimate,24.0,1.0,2447.0
249,60184,Margin of Error,21.0,0.9,411.0
250,60185,Estimate,3117.0,8.9,35142.0
251,60185,Margin of Error,601.0,1.7,680.0
252,60187,Estimate,1418.0,5.3,26699.0
253,60187,Margin of Error,399.0,1.5,1060.0
254,60188,Estimate,3199.0,7.7,41286.0
255,60188,Margin of Error,694.0,1.7,353.0
256,60189,Estimate,1546.0,5.1,30358.0
257,60189,Margin of Error,546.0,1.8,1006.0
258,60190,Estimate,195.0,1.8,11086.0
259,60190,Margin of Error,113.0,1.0,407.0
260,60191,Estimate,921.0,6.6,13917.0
261,60191,Margin of Error,334.0,2.4,121.0
262,60192,Estimate,297.0,1.9,15618.0
263,60192,Margin of Error,148.0,1.0,696.0
264,60193,Estimate,1869.0,4.8,38688.0
265,60193,Margin of Error,493.0,1.3,1527.0
266,60194,Estimate,1376.0,7.2,19076.0
267,60194,Margin of Error,451.0,2.4,1180.0
268,60195,Estimate,261.0,5.6,4689.0
269,60195,Margin of Error,154.0,3.4,602.0
270,60201,Estimate,5492.0,15.7,35002.0
271,60201,Margin of Error,807.0,2.1,1408.0
272,60202,Estimate,2374.0,7.4,32051.0
273,60202,Margin of Error,545.0,1.7,1450.0
274,60203,Estimate,234.0,5.5,4248.0
275,60203,Margin of Error,232.0,5.2,479.0
276,60301,Estimate,169.0,5.7,2969.0
277,60301,Margin of Error,177.0,5.9,471.0
278,60302,Estimate,2607.0,8.3,31297.0
279,60302,Margin of Error,481.0,1.5,818.0
280,60304,Estimate,857.0,4.9,17509.0
281,60304,Margin of Error,242.0,1.4,843.0
282,60305,Estimate,225.0,2.2,10010.0
283,60305,Margin of Error,218.0,2.2,171.0
284,60401,Estimate,237.0,3.2,7472.0
285,60401,Margin of Error,198.0,2.6,300.0
286,60402,Estimate,7346.0,11.8,62377.0
287,60402,Margin of Error,1464.0,2.3,379.0
288,60403,Estimate,2035.0,12.0,16964.0
289,60403,Margin of Error,570.0,3.3,608.0
290,60404,Estimate,639.0,3.3,19099.0
291,60404,Margin of Error,231.0,1.2,400.0
292,60406,Estimate,4998.0,19.4,25729.0
293,60406,Margin of Error,1142.0,4.1,1364.0
294,60407,Estimate,220.0,12.8,1721.0
295,60407,Margin of Error,112.0,6.0,285.0
296,60408,Estimate,535.0,9.6,5601.0
297,60408,Margin of Error,181.0,3.2,245.0
298,60409,Estimate,6637.0,18.4,36085.0
299,60409,Margin of Error,1475.0,4.1,150.0
300,60410,Estimate,699.0,5.2,13512.0
301,60410,Margin of Error,398.0,2.9,671.0
302,60411,Estimate,12472.0,22.2,56141.0
303,60411,Margin of Error,1448.0,2.5,564.0
304,60415,Estimate,2857.0,21.1,13519.0
305,60415,Margin of Error,900.0,6.6,178.0
306,60416,Estimate,628.0,7.0,9013.0
307,60416,Margin of Error,287.0,3.2,268.0
308,60417,Estimate,1106.0,7.4,15022.0
309,60417,Margin of Error,396.0,2.6,463.0
310,60419,Estimate,4834.0,22.1,21899.0
311,60419,Margin of Error,1049.0,4.8,362.0
312,60420,Estimate,576.0,12.5,4621.0
313,60420,Margin of Error,293.0,6.3,241.0
314,60421,Estimate,298.0,7.7,3887.0
315,60421,Margin of Error,148.0,3.8,81.0
316,60422,Estimate,948.0,10.1,9355.0
317,60422,Margin of Error,890.0,9.5,769.0
318,60423,Estimate,920.0,3.0,31182.0
319,60423,Margin of Error,327.0,1.1,678.0
320,60424,Estimate,172.0,7.5,2279.0
321,60424,Margin of Error,89.0,4.0,252.0
322,60425,Estimate,1002.0,11.4,8757.0
323,60425,Margin of Error,506.0,5.8,495.0
324,60426,Estimate,8240.0,29.9,27602.0
325,60426,Margin of Error,1112.0,4.0,1003.0
326,60428,Estimate,2523.0,21.2,11890.0
327,60428,Margin of Error,691.0,5.9,374.0
328,60429,Estimate,2269.0,14.8,15337.0
329,60429,Margin of Error,953.0,6.3,1302.0
330,60430,Estimate,1527.0,7.9,19435.0
331,60430,Margin of Error,762.0,3.9,1259.0
332,60431,Estimate,1063.0,4.5,23506.0
333,60431,Margin of Error,355.0,1.6,1520.0
334,60432,Estimate,3779.0,18.7,20193.0
335,60432,Margin of Error,759.0,3.8,1145.0
336,60433,Estimate,2178.0,14.0,15526.0
337,60433,Margin of Error,444.0,3.0,997.0
338,60435,Estimate,6330.0,13.1,48364.0
339,60435,Margin of Error,978.0,1.9,1862.0
340,60436,Estimate,3331.0,19.2,17384.0
341,60436,Margin of Error,926.0,4.8,1451.0
342,60437,Estimate,2.0,1.5,133.0
343,60437,Margin of Error,3.0,2.5,61.0
344,60438,Estimate,4575.0,16.3,28005.0
345,60438,Margin of Error,990.0,3.5,395.0
346,60439,Estimate,1284.0,5.2,24464.0
347,60439,Margin of Error,520.0,2.1,694.0
348,60440,Estimate,4823.0,9.3,51961.0
349,60440,Margin of Error,1049.0,2.0,1343.0
350,60441,Estimate,2551.0,7.6,33570.0
351,60441,Margin of Error,629.0,1.9,594.0
352,60442,Estimate,556.0,4.9,11286.0
353,60442,Margin of Error,258.0,2.3,390.0
354,60443,Estimate,2825.0,13.2,21352.0
355,60443,Margin of Error,1048.0,4.9,648.0
356,60444,Estimate,128.0,6.7,1921.0
357,60444,Margin of Error,67.0,3.5,222.0
358,60445,Estimate,2415.0,9.7,24793.0
359,60445,Margin of Error,573.0,2.3,300.0
360,60446,Estimate,2628.0,6.8,38718.0
361,60446,Margin of Error,743.0,1.9,371.0
362,60447,Estimate,668.0,4.8,13892.0
363,60447,Margin of Error,343.0,2.4,623.0
364,60448,Estimate,1022.0,4.0,25812.0
365,60448,Margin of Error,321.0,1.3,786.0
366,60449,Estimate,471.0,5.0,9480.0
367,60449,Margin of Error,340.0,3.7,648.0
368,60450,Estimate,1653.0,8.2,20067.0
369,60450,Margin of Error,549.0,2.8,453.0
370,60451,Estimate,763.0,2.1,35895.0
371,60451,Margin of Error,299.0,0.8,648.0
372,60452,Estimate,1469.0,5.3,27523.0
373,60452,Margin of Error,535.0,1.9,340.0
374,60453,Estimate,5535.0,10.1,54679.0
375,60453,Margin of Error,1022.0,1.9,598.0
376,60455,Estimate,2400.0,15.6,15428.0
377,60455,Margin of Error,692.0,4.5,361.0
378,60456,Estimate,253.0,6.0,4216.0
379,60456,Margin of Error,107.0,2.5,16.0
380,60457,Estimate,1081.0,7.9,13686.0
381,60457,Margin of Error,413.0,3.0,498.0
382,60458,Estimate,3249.0,21.2,15318.0
383,60458,Margin of Error,786.0,4.9,636.0
384,60459,Estimate,3022.0,10.7,28234.0
385,60459,Margin of Error,760.0,2.7,130.0
386,60460,Estimate,160.0,13.4,1196.0
387,60460,Margin of Error,80.0,6.1,181.0
388,60461,Estimate,346.0,7.4,4659.0
389,60461,Margin of Error,259.0,5.6,461.0
390,60462,Estimate,1967.0,4.9,39833.0
391,60462,Margin of Error,737.0,1.9,1036.0
392,60463,Estimate,942.0,6.9,13713.0
393,60463,Margin of Error,307.0,2.2,386.0
394,60464,Estimate,469.0,4.9,9516.0
395,60464,Margin of Error,272.0,2.8,399.0
396,60465,Estimate,2071.0,12.1,17055.0
397,60465,Margin of Error,823.0,4.8,135.0
398,60466,Estimate,2614.0,12.6,20810.0
399,60466,Margin of Error,632.0,3.0,552.0
400,60467,Estimate,1511.0,5.9,25642.0
401,60467,Margin of Error,564.0,2.2,1068.0
402,60468,Estimate,211.0,3.6,5911.0
403,60468,Margin of Error,108.0,1.9,490.0
404,60469,Estimate,604.0,11.2,5406.0
405,60469,Margin of Error,446.0,8.3,482.0
406,60470,Estimate,62.0,14.4,430.0
407,60470,Margin of Error,61.0,11.7,113.0
408,60471,Estimate,1608.0,11.7,13713.0
409,60471,Margin of Error,468.0,3.4,472.0
410,60472,Estimate,1545.0,31.8,4862.0
411,60472,Margin of Error,491.0,9.5,415.0
412,60473,Estimate,2367.0,11.0,21468.0
413,60473,Margin of Error,584.0,2.7,557.0
414,60474,Estimate,51.0,6.8,745.0
415,60474,Margin of Error,30.0,4.1,142.0
416,60475,Estimate,1257.0,12.9,9758.0
417,60475,Margin of Error,393.0,4.1,254.0
418,60476,Estimate,190.0,8.2,2313.0
419,60476,Margin of Error,84.0,3.6,339.0
420,60477,Estimate,2708.0,7.4,36784.0
421,60477,Margin of Error,668.0,1.8,883.0
422,60478,Estimate,2037.0,12.4,16443.0
423,60478,Margin of Error,586.0,3.6,136.0
424,60479,Estimate,176.0,16.3,1082.0
425,60479,Margin of Error,105.0,8.5,259.0
426,60480,Estimate,148.0,3.0,5009.0
427,60480,Margin of Error,102.0,2.0,338.0
428,60481,Estimate,1147.0,10.1,11348.0
429,60481,Margin of Error,311.0,2.8,462.0
430,60482,Estimate,1453.0,13.6,10695.0
431,60482,Margin of Error,677.0,6.3,121.0
432,60484,Estimate,649.0,9.8,6632.0
433,60484,Margin of Error,364.0,5.4,218.0
434,60487,Estimate,1369.0,5.1,26782.0
435,60487,Margin of Error,544.0,2.0,914.0
436,60490,Estimate,919.0,4.2,21851.0
437,60490,Margin of Error,737.0,3.3,1310.0
438,60491,Estimate,855.0,3.8,22720.0
439,60491,Margin of Error,241.0,1.1,487.0
440,60501,Estimate,1937.0,16.4,11800.0
441,60501,Margin of Error,522.0,4.4,257.0
442,60502,Estimate,861.0,3.8,22921.0
443,60502,Margin of Error,331.0,1.4,1681.0
444,60503,Estimate,478.0,2.8,17141.0
445,60503,Margin of Error,326.0,1.9,571.0
446,60504,Estimate,2805.0,7.2,39021.0
447,60504,Margin of Error,1175.0,2.9,2083.0
448,60505,Estimate,10586.0,14.9,71137.0
449,60505,Margin of Error,1246.0,1.8,2542.0
450,60506,Estimate,6343.0,11.6,54793.0
451,60506,Margin of Error,1098.0,2.0,2175.0
452,60510,Estimate,1699.0,5.9,28756.0
453,60510,Margin of Error,528.0,1.8,550.0
454,60511,Estimate,35.0,2.0,1746.0
455,60511,Margin of Error,37.0,2.1,272.0
456,60512,Estimate,0.0,0.0,1671.0
457,60512,Margin of Error,12.0,1.9,865.0
458,60513,Estimate,1323.0,7.2,18450.0
459,60513,Margin of Error,551.0,3.0,253.0
460,60514,Estimate,771.0,7.7,9970.0
461,60514,Margin of Error,611.0,6.1,403.0
462,60515,Estimate,1473.0,5.4,27490.0
463,60515,Margin of Error,379.0,1.4,1087.0
464,60516,Estimate,1400.0,4.7,29506.0
465,60516,Margin of Error,431.0,1.4,1247.0
466,60517,Estimate,1461.0,4.6,32024.0
467,60517,Margin of Error,464.0,1.4,481.0
468,60518,Estimate,587.0,15.5,3789.0
469,60518,Margin of Error,233.0,5.7,380.0
470,60519,Estimate,0.0,0.0,26.0
471,60519,Margin of Error,12.0,58.2,30.0
472,60520,Estimate,214.0,7.3,2941.0
473,60520,Margin of Error,82.0,2.7,183.0
474,60521,Estimate,362.0,2.0,17891.0
475,60521,Margin of Error,132.0,0.7,428.0
476,60523,Estimate,561.0,5.8,9644.0
477,60523,Margin of Error,209.0,2.2,290.0
478,60525,Estimate,1416.0,4.8,29595.0
479,60525,Margin of Error,378.0,1.3,684.0
480,60526,Estimate,657.0,5.0,13033.0
481,60526,Margin of Error,263.0,2.0,93.0
482,60527,Estimate,1763.0,6.6,26642.0
483,60527,Margin of Error,482.0,1.8,820.0
484,60530,Estimate,33.0,4.2,777.0
485,60530,Margin of Error,22.0,2.9,223.0
486,60531,Estimate,454.0,22.7,2004.0
487,60531,Margin of Error,349.0,14.4,376.0
488,60532,Estimate,1821.0,6.6,27762.0
489,60532,Margin of Error,477.0,1.7,771.0
490,60534,Estimate,960.0,9.3,10309.0
491,60534,Margin of Error,315.0,3.1,94.0
492,60536,Estimate,18.0,16.7,108.0
493,60536,Margin of Error,34.0,25.4,65.0
494,60537,Estimate,25.0,3.8,653.0
495,60537,Margin of Error,26.0,3.6,149.0
496,60538,Estimate,1356.0,4.9,27915.0
497,60538,Margin of Error,503.0,1.8,1086.0
498,60539,Estimate,49.0,31.0,158.0
499,60539,Margin of Error,106.0,63.4,124.0
500,60540,Estimate,1746.0,4.1,42435.0
501,60540,Margin of Error,440.0,1.0,1244.0
502,60541,Estimate,192.0,5.3,3606.0
503,60541,Margin of Error,112.0,3.0,460.0
504,60542,Estimate,838.0,4.6,18259.0
505,60542,Margin of Error,305.0,1.7,250.0
506,60543,Estimate,1023.0,2.5,40849.0
507,60543,Margin of Error,422.0,1.0,1057.0
508,60544,Estimate,1207.0,4.4,27587.0
509,60544,Margin of Error,470.0,1.7,1205.0
510,60545,Estimate,975.0,7.2,13449.0
511,60545,Margin of Error,540.0,4.0,320.0
512,60546,Estimate,613.0,4.0,15166.0
513,60546,Margin of Error,237.0,1.5,414.0
514,60548,Estimate,859.0,7.1,12024.0
515,60548,Margin of Error,419.0,3.5,609.0
516,60549,Estimate,5.0,1.5,337.0
517,60549,Margin of Error,7.0,2.6,215.0
518,60550,Estimate,110.0,9.3,1180.0
519,60550,Margin of Error,62.0,4.9,193.0
520,60551,Estimate,286.0,8.5,3384.0
521,60551,Margin of Error,172.0,4.7,380.0
522,60552,Estimate,243.0,5.5,4436.0
523,60552,Margin of Error,129.0,2.9,541.0
524,60553,Estimate,83.0,11.2,743.0
525,60553,Margin of Error,51.0,6.9,158.0
526,60554,Estimate,403.0,3.2,12458.0
527,60554,Margin of Error,280.0,2.3,396.0
528,60555,Estimate,1109.0,8.4,13260.0
529,60555,Margin of Error,449.0,3.4,204.0
530,60556,Estimate,200.0,8.4,2386.0
531,60556,Margin of Error,112.0,4.8,336.0
532,60557,Estimate,0.0,0.0,255.0
533,60557,Margin of Error,12.0,11.9,250.0
534,60558,Estimate,398.0,3.0,13243.0
535,60558,Margin of Error,200.0,1.5,136.0
536,60559,Estimate,2496.0,10.3,24213.0
537,60559,Margin of Error,596.0,2.5,673.0
538,60560,Estimate,1493.0,6.0,25063.0
539,60560,Margin of Error,631.0,2.5,998.0
540,60561,Estimate,1026.0,4.5,22674.0
541,60561,Margin of Error,325.0,1.4,551.0
