,Zipcode,Stats,EDUCATIONAL ATTAINMENT,Below poverty level,Percent below poverty level,Total
158,60025,Margin of Error,Population 25 years and over,339.0,1.2,1177.0
159,60025,Margin of Error,"Some college, associate's degree",191.0,3.5,564.0
160,60026,Estimate,Bachelor's degree or higher,106.0,1.7,6220.0
161,60026,Estimate,High school graduate (includes equivalency),17.0,2.7,633.0
162,60026,Estimate,Less than high school graduate,20.0,11.2,179.0
163,60026,Estimate,Population 25 years and over,326.0,3.6,9101.0
164,60026,Estimate,"Some college, associate's degree",183.0,8.8,2069.0
165,60026,Margin of Error,Bachelor's degree or higher,82.0,1.3,538.0
166,60026,Margin of Error,High school graduate (includes equivalency),23.0,3.9,225.0
167,60026,Margin of Error,Less than high school graduate,29.0,14.4,79.0
168,60026,Margin of Error,Population 25 years and over,231.0,2.5,650.0
169,60026,Margin of Error,"Some college, associate's degree",194.0,8.9,462.0
170,60029,Estimate,Bachelor's degree or higher,4.0,1.6,252.0
171,60029,Estimate,High school graduate (includes equivalency),0.0,0.0,37.0
172,60029,Estimate,Less than high school graduate,0.0,0.0,8.0
173,60029,Estimate,Population 25 years and over,17.0,5.0,342.0
174,60029,Estimate,"Some college, associate's degree",13.0,28.9,45.0
175,60029,Margin of Error,Bachelor's degree or higher,7.0,2.8,73.0
176,60029,Margin of Error,High school graduate (includes equivalency),12.0,48.8,49.0
177,60029,Margin of Error,Less than high school graduate,12.0,100.0,11.0
178,60029,Margin of Error,Population 25 years and over,19.0,5.8,74.0
179,60029,Margin of Error,"Some college, associate's degree",18.0,30.8,24.0
180,60030,Estimate,Bachelor's degree or higher,427.0,3.6,11937.0
181,60030,Estimate,High school graduate (includes equivalency),314.0,6.5,4865.0
182,60030,Estimate,Less than high school graduate,185.0,22.1,839.0
183,60030,Estimate,Population 25 years and over,1269.0,5.1,24786.0
184,60030,Estimate,"Some college, associate's degree",343.0,4.8,7145.0
185,60030,Margin of Error,Bachelor's degree or higher,177.0,1.5,674.0
186,60030,Margin of Error,High school graduate (includes equivalency),137.0,2.7,577.0
187,60030,Margin of Error,Less than high school graduate,104.0,11.1,191.0
188,60030,Margin of Error,Population 25 years and over,306.0,1.2,840.0
189,60030,Margin of Error,"Some college, associate's degree",137.0,1.9,527.0
190,60031,Estimate,Bachelor's degree or higher,225.0,1.7,13196.0
191,60031,Estimate,High school graduate (includes equivalency),376.0,10.4,3629.0
192,60031,Estimate,Less than high school graduate,147.0,12.5,1174.0
193,60031,Estimate,Population 25 years and over,1022.0,4.1,24671.0
194,60031,Estimate,"Some college, associate's degree",274.0,4.1,6672.0
195,60031,Margin of Error,Bachelor's degree or higher,110.0,0.8,591.0
196,60031,Margin of Error,High school graduate (includes equivalency),124.0,3.1,317.0
197,60031,Margin of Error,Less than high school graduate,72.0,6.1,247.0
198,60031,Margin of Error,Population 25 years and over,214.0,0.9,730.0
199,60031,Margin of Error,"Some college, associate's degree",107.0,1.6,526.0
