,Zipcode,Age group,Estimate
268,60559,Under 5 years,1742.0
269,60560,Under 5 years,1755.0
270,60561,Under 5 years,618.0
271,60563,Under 5 years,2694.0
272,60564,Under 5 years,2721.0
273,60565,Under 5 years,1827.0
274,60585,Under 5 years,1327.0
275,60586,Under 5 years,3176.0
276,60601,Under 5 years,275.0
277,60602,Under 5 years,49.0
278,60603,Under 5 years,3.0
279,60604,Under 5 years,0.0
280,60605,Under 5 years,1359.0
281,60606,Under 5 years,63.0
282,60607,Under 5 years,1679.0
283,60608,Under 5 years,3964.0
284,60609,Under 5 years,4004.0
285,60610,Under 5 years,1292.0
286,60611,Under 5 years,1000.0
287,60612,Under 5 years,1793.0
288,60613,Under 5 years,2879.0
289,60614,Under 5 years,3479.0
290,60615,Under 5 years,2016.0
291,60616,Under 5 years,2258.0
292,60617,Under 5 years,4898.0
293,60618,Under 5 years,7002.0
294,60619,Under 5 years,3457.0
295,60620,Under 5 years,4177.0
296,60621,Under 5 years,2442.0
297,60622,Under 5 years,3220.0
298,60623,Under 5 years,5313.0
299,60624,Under 5 years,2729.0
300,60625,Under 5 years,5366.0
301,60626,Under 5 years,3045.0
302,60628,Under 5 years,3896.0
303,60629,Under 5 years,8679.0
304,60630,Under 5 years,3157.0
305,60631,Under 5 years,2179.0
306,60632,Under 5 years,6266.0
307,60633,Under 5 years,639.0
308,60634,Under 5 years,3927.0
309,60636,Under 5 years,1786.0
310,60637,Under 5 years,2717.0
311,60638,Under 5 years,3519.0
312,60639,Under 5 years,5868.0
313,60640,Under 5 years,3227.0
314,60641,Under 5 years,4413.0
315,60642,Under 5 years,913.0
316,60643,Under 5 years,2949.0
317,60644,Under 5 years,3627.0
318,60645,Under 5 years,4059.0
319,60646,Under 5 years,1898.0
320,60647,Under 5 years,5618.0
321,60649,Under 5 years,3362.0
322,60651,Under 5 years,3808.0
323,60652,Under 5 years,2596.0
324,60653,Under 5 years,2876.0
325,60654,Under 5 years,794.0
326,60655,Under 5 years,1793.0
327,60656,Under 5 years,1969.0
328,60657,Under 5 years,3696.0
